Id,WnvPresent
1,3.17009e-27
2,2.64844e-28
3,3.98007e-27
4,3.54865e-31
5,8.65738e-31
6,5.62334e-36
7,4.2564e-27
8,0.0
9,1.25476e-32
10,1.04819e-33
11,1.57541e-32
12,1.40436e-36
13,3.42648e-36
14,0.0
15,1.6846e-32
16,0.0
17,1.50277e-29
18,1.25536e-30
19,1.88682e-29
20,1.68214e-33
21,4.10367e-33
22,2.66555e-38
23,2.01766e-29
24,0.0
25,4.89213e-31
26,4.08666e-32
27,6.14266e-31
28,5.47598e-35
29,1.33598e-34
30,0.0
31,6.56802e-31
32,0.0
33,4.33953e-30
34,3.62499e-31
35,5.44806e-30
36,4.85692e-34
37,1.18507e-33
38,0.0
39,5.82621e-30
40,0.0
41,3.1781e-29
42,2.65505e-30
43,3.9905e-29
44,3.55729e-33
45,8.679e-33
46,5.63747e-38
47,4.26709e-29
48,0.0
49,2.41468e-29
50,2.01718e-30
51,3.03169e-29
52,2.70274e-33
53,6.59357e-33
54,4.28287e-38
55,3.24197e-29
56,0.0
57,3.62314e-33
58,3.0267e-34
59,4.54971e-33
60,4.05561e-37
61,9.89433e-37
62,0.0
63,4.86469e-33
64,0.0
65,1.07717e-28
66,8.99852e-30
67,1.35246e-28
68,1.2057e-32
69,2.94172e-32
70,1.91057e-37
71,1.44627e-28
72,0.0
73,1.44619e-29
74,1.20804e-30
75,1.81575e-29
76,1.61866e-33
77,3.9493e-33
78,2.56492e-38
79,1.94167e-29
80,0.0
81,7.15939e-31
82,5.981e-32
83,8.98921e-31
84,8.01409e-35
85,1.95511e-34
86,0.0
87,9.61228e-31
88,0.0
89,5.63472e-29
90,4.70728e-30
91,7.07529e-29
92,6.3072e-33
93,1.53875e-32
94,9.99436e-38
95,7.56558e-29
96,0.0
97,2.57693e-29
98,2.15449e-30
99,3.23827e-29
100,2.88686e-33
101,7.04296e-33
102,4.43747e-38
103,3.46277e-29
104,0.0
105,2.92391e-32
106,2.4425e-33
107,3.67121e-32
108,3.27287e-36
109,7.98445e-36
110,0.0
111,3.92579e-32
112,0.0
113,1.50072e-28
114,1.25364e-29
115,1.88422e-28
116,1.67962e-32
117,4.0979e-32
118,2.66172e-37
119,2.01467e-28
120,0.0
121,4.51041e-31
122,3.76803e-32
123,5.66329e-31
124,5.04887e-35
125,1.23174e-34
126,0.0
127,6.05564e-31
128,0.0
129,1.34476e-31
130,1.12325e-32
131,1.68851e-31
132,1.50521e-35
133,3.67242e-35
134,0.0
135,1.80549e-31
136,0.0
137,8.18737e-30
138,6.83968e-31
139,1.02802e-29
140,9.1652e-34
141,2.23597e-33
142,1.45233e-38
143,1.0993e-29
144,0.0
145,1.24434e-29
146,1.03949e-30
147,1.56237e-29
148,1.39286e-33
149,3.39792e-33
150,2.20699e-38
151,1.67066e-29
152,0.0
153,1.42744e-28
154,1.19251e-29
155,1.79224e-28
156,1.5979e-32
157,3.89786e-32
